gen;wins;draws;losts;raw score;shared score
1;17;0;158;51;0,227624
2;29;0;146;87;0,341292
3;53;11;111;170;0,651491
4;31;0;144;93;0,357151
5;56;1;118;169;0,845053
9;49;21;105;168;0,680623
10;52;2;121;158;0,708919
11;60;0;115;180;1,05959
15;46;4;125;142;0,902685
16;79;2;94;239;1,2881
20;70;0;105;210;1,17712
21;76;0;99;228;1,24284
22;16;0;159;48;0,143971
23;59;0;116;177;1,01461
24;18;0;157;54;0,157894
25;62;0;113;186;1,06874
27;19;0;156;57;0,164263
28;85;0;90;255;1,32612
30;73;1;101;220;0,846873
31;19;0;156;57;0,163957
32;22;0;153;66;0,187107
33;87;2;86;263;1,34069
34;72;3;100;219;1,05092
35;13;0;162;39;0,11183
36;91;2;82;275;1,39069
37;58;0;117;174;0,646137
38;77;2;96;233;1,07921
39;26;1;148;79;0,230169
40;76;0;99;228;1,02931
41;74;0;101;222;0,986491
42;80;0;95;240;1,03541
43;74;2;99;224;0,962922
44;31;1;143;94;0,284207
45;13;0;162;39;0,0928114
46;43;1;131;130;0,434194
48;70;1;104;211;0,728898
50;68;0;107;204;0,770829
51;60;1;114;181;0,622881
52;50;0;125;150;0,494913
53;84;0;91;252;1,13429
54;98;0;77;294;1,16602
55;99;0;76;297;1,47665
56;67;1;107;202;0,692623
57;69;0;106;207;0,740319
58;41;0;134;123;0,360675
59;65;1;109;196;0,651514
60;72;0;103;216;0,783621
61;44;0;131;132;0,387021
62;107;0;68;321;1,53964
63;77;2;96;233;0,793092
64;67;3;105;204;0,687599
65;73;1;101;220;0,759931
66;64;0;111;192;0,639718
68;50;0;125;150;0,448211
69;51;0;124;153;0,456211
70;82;0;93;246;0,960469
72;74;1;100;223;0,761665
74;87;0;88;261;1,09191
75;67;1;107;202;0,669628
76;63;16;96;205;0,771811
77;46;1;128;139;0,426186
78;73;2;100;221;0,746727
79;68;0;107;204;0,659817
80;59;0;116;177;0,532895
81;76;1;98;229;0,769744
82;60;0;115;180;0,540968
83;75;1;99;226;0,735135
85;62;0;113;186;0,559764
86;64;0;111;192;0,579366
87;80;1;94;241;0,859574
88;78;2;95;236;0,792737
90;75;5;95;230;0,764403
91;82;2;91;248;0,884095
92;69;2;104;209;0,685246
93;56;0;119;168;0,545005
94;80;0;95;240;0,986998
95;76;0;99;228;0,79948
96;61;0;114;183;0,592596
97;71;0;104;213;0,646745
98;79;5;91;242;0,786689
99;51;0;124;153;0,440645
100;82;2;91;248;0,885442
101;95;1;79;286;0,961133
102;65;0;110;195;0,666113
103;75;0;100;225;0,688391
104;85;2;88;257;0,859156
106;83;2;90;251;0,833194
107;94;1;80;283;0,963092
108;86;2;87;260;0,864658
109;90;1;84;271;0,908735
110;74;0;101;222;0,71974
111;83;0;92;249;0,876421
112;87;0;88;261;0,860023
113;80;1;94;241;0,794779
114;84;0;91;252;0,789183
115;83;0;92;249;0,880011
116;101;2;72;305;1,30544
117;90;4;81;274;0,915236
118;81;0;94;243;0,861573
119;88;1;86;265;0,867272
120;82;0;93;246;0,874345
121;83;0;92;249;0,881931
122;94;3;78;285;0,966314
123;90;2;83;272;0,909879
124;84;0;91;252;0,808347
125;87;0;88;261;0,833898
127;94;1;80;283;0,941219
128;96;3;76;291;0,987381
129;101;12;62;315;1,06488
130;111;1;63;334;1,17188
133;87;0;88;261;0,947151
134;97;2;76;293;0,993335
135;97;1;77;292;1,00105
137;86;0;89;258;0,943613
138;92;0;83;276;1,01298
139;98;12;65;306;1,06981
141;91;4;80;277;0,942436
142;93;0;82;279;0,918776
143;109;0;66;327;1,13572
144;100;12;63;312;1,082
145;118;1;56;355;1,64538
146;104;1;70;313;1,06668
147;94;0;81;282;1,04045
148;102;0;73;306;1,03551
149;103;0;72;309;1,05138
150;91;17;67;290;0,990583
151;104;0;71;312;1,06401
152;107;1;67;322;1,10874
153;107;0;68;321;1,10861
154;111;4;60;337;1,17229
155;118;0;57;354;1,30696
156;115;0;60;345;1,19451
157;100;0;75;300;1,14419
158;107;2;66;323;1,33653
159;114;1;60;343;1,23403
160;113;0;62;339;1,2075
161;99;0;76;297;1,13908
162;103;0;72;309;1,07448
163;100;0;75;300;1,12878
164;123;0;52;369;1,34219
165;125;1;49;376;1,37981
166;122;0;53;366;1,33458
167;119;0;56;357;1,3035
168;125;1;49;376;1,40281
169;129;1;45;388;1,49274
170;123;0;52;369;1,38051
171;128;0;47;384;1,44237
172;124;0;51;372;1,41107
173;129;0;46;387;1,4731
174;131;0;44;393;1,52111
175;138;0;37;414;1,60506
176;133;1;41;400;1,57876
177;131;1;43;394;1,54848
178;114;0;61;342;1,44421
179;140;0;35;420;1,71626
180;115;0;60;345;1,45159
181;113;0;62;339;1,44421
182;136;0;39;408;1,64285
183;104;0;71;312;1,39052
184;155;0;20;465;1,85045
185;141;0;34;423;1,76972
186;141;0;34;423;1,77131
187;136;0;39;408;1,73526
188;101;0;74;303;1,17704
189;143;1;31;430;1,84535
190;142;0;33;426;1,84204
191;149;1;25;448;1,94507
192;143;0;32;429;1,8954
193;145;0;30;435;1,94242
194;111;0;64;333;1,44527
195;150;0;25;450;2,03021
196;148;0;27;444;2,03622
197;149;0;26;447;2,06894
198;108;0;67;324;1,33578
199;124;0;51;372;1,8189
200;122;0;53;366;1,79405
